track_name,artist_name,album_name,release_date,popularity,track_id,region,features,languages
Green & Gold,Rudimental,Green & Gold (feat. Charlotte Plank & Riko Dan),2024-02-23,62,0JI8koDoC5crQbIjhSty59,UK,"['Skepsis', 'Charlotte Plank', 'Riko Dan']",English
When the Lights Go Out,Marc Sway,When the Lights Go Out,2024-09-27,30,2lbjzuXnXIAglT0f7ghw5o,UK,[],English
Cry No More,Headie One,Cry No More (feat. Stormzy & Tay Keith),2024-04-19,57,1RAwKDC2VKpxLy6es0KZTJ,UK,"['Stormzy', 'Tay Keith']",English
End of Beginning,Djo,DECIDE,2022-09-16,88,3qhlB30KknSejmIvZZLjOD,UK,[],English
The Right Guy,Yafania,The Right Guy,2024-07-19,31,7hsRr5OlAWrpnXgf6LCs0Y,UK,[],English
These Words,Badger,These Words,2024-04-05,74,7leW1Dmvs9A4oDh9i5Qwpz,UK,['Natasha Bedingfield'],English
Lovers In A Past Life,Calvin Harris,Lovers In A Past Life (with Rag'n'Bone Man),2024-02-16,62,6v4ABPB255HDSWyIj3S9Wn,UK,"[""Rag'n'Bone Man""]",English
The Right Guy,Yafania,The Right Guy,2024-07-19,31,7hsRr5OlAWrpnXgf6LCs0Y,UK,[],English
Home,Good Neighbours,Home,2024-01-17,22,6dpLxbF7lfCAnC9QRTjNLK,UK,[],English
Jump,Tyla,Jump,2024-03-20,66,0ve0CavjqrUqVmZ605RhTV,UK,"['Gunna', 'Skillibeng']",English
Let's Make Our Love Last - Remix,Mike Di Lorenzo,Slo' Jams,2024-08-30,34,3uQtU1E7VQKLkE95Kuu63H,UK,['Anna Moore'],English
Prada,cassö,Prada (feat. D-Block Europe) [Clean],2023-09-05,43,5vR56XmFwKehzvCl0XHdRw,UK,"['RAYE', 'D-Block Europe']",English
obsessed,Olivia Rodrigo,GUTS (spilled),2024-03-22,54,0pWB4X7xxFaTyQYdXXXpYw,UK,[],English
Long Time,Matthew W Charles,Shark,2024-11-06,22,55BJhLpMbwTygFXEogEQ8i,UK,[],English
